Distance,Battery,Motor
480.3236372,0.678937188,6.864081472
86.62347695,0.120127566,9.106391956
508.0745264,0.7587695,4.076316312
542.0566281,0.756874889,8.146227779
353.897922,0.488598256,9.867060885
543.5865186,0.736424052,15.39625739
161.1899589,0.23169526,5.660949686
132.0972382,0.177841636,18.95779919
543.1621001,0.75427854,8.895847992
179.8364394,0.293529844,2.530695596
208.664773,0.290635358,8.470052585
294.2099517,0.445023132,3.73599928
149.7120796,0.220712677,4.49637237
212.5392574,0.28837133,14.73357685
497.220206,0.736338244,4.339679335
210.3354437,0.348245973,2.392353711
166.4443503,0.236939075,6.296889592
360.9837947,0.493028295,12.39883264
103.2271129,0.14482763,7.589942701
263.6513943,0.421892844,2.755626926
414.6461443,0.559053753,17.9823147
139.0218181,0.191226353,10.60761631
96.14606927,0.150354103,3.080403728
326.0611709,0.448461599,10.62678524
157.3577341,0.21218539,17.90785912
444.3133179,0.607344407,12.15713712
247.6400229,0.337741957,12.836921
468.5992687,0.640338232,12.24816147
166.5011522,0.252410359,3.682884728
308.8136269,0.421338475,12.71333102
258.6451338,0.361033823,8.185548034
444.2894498,0.601621637,15.61332379
148.3606931,0.204617196,10.06354912
431.027143,0.638604925,4.324398022
178.3064373,0.240380486,18.0461234
224.0077841,0.306067289,12.28420383
150.0816479,0.213374369,6.391684167
294.4681172,0.402638174,12.0719494
406.9142095,0.562107849,9.764380687
406.9845984,0.601675797,4.397830308
297.3589026,0.408114571,11.10836969
138.4343067,0.188022857,14.30642462
110.6433586,0.151385996,11.89153792
459.0106773,0.631049008,10.72009451
442.739505,0.59698912,17.92119029
427.0165492,0.579187922,14.86874157
544.6909631,0.741343221,13.52820083
285.7196286,0.386061024,16.71403318
261.5092837,0.358462219,11.41356243
508.1669817,0.683888958,19.22117569
193.5381743,0.26061123,18.81847317
235.1196301,0.319874513,13.67516953
305.62698,0.419147355,11.28899229
537.3679661,0.794213481,4.407292224
509.2474848,0.687502126,17.1919628
111.4750354,0.153250731,10.72788317
255.1500582,0.352200344,9.901278982
362.3206826,0.489065595,17.28690106
121.8652453,0.170080172,8.205889739
195.6607606,0.266019654,13.91317013
427.1225939,0.577374679,16.48023901
437.557129,0.599036909,11.73189456
101.66927,0.137278868,17.10114267
164.991554,0.227008134,10.55096055
356.7555793,0.572123262,2.72869941
423.2103417,0.635684396,3.914731375
215.6472643,0.290137882,19.42064583
503.9746971,0.677926956,19.56839017
438.8314182,0.615636405,7.597679228
448.4979733,0.617251289,10.49158222
387.8414291,0.523583584,17.20966454
237.6556802,0.320585093,17.66939539
549.8160929,0.75325311,11.54924845
561.857705,0.756122115,19.2437403
426.0780104,0.695850544,2.524713274
337.3925945,0.470383772,8.341790447
456.5029379,0.617402386,16.21729117
532.1578713,0.729656927,11.34378005
310.5886745,0.425642318,11.46975674
96.90878193,0.131250931,15.52459577
475.9471376,0.677961657,6.250200958
406.508507,0.592208293,4.974055267
193.4269458,0.271314238,7.615416338
215.6140212,0.415020908,1.56186427
550.5675321,0.769096593,8.091645758
492.7460262,0.715056102,5.154397017
118.3357901,0.169201646,5.989215269
359.0259803,0.495978799,9.755839255
265.9175394,0.385628398,5.187339035
152.7662304,0.205417281,19.8564676
449.3511491,0.701437489,3.109401848
461.9223023,0.644096957,8.322019755
116.6876613,0.156975084,19.51400601
486.6672202,0.655296896,18.85115216
435.5059178,0.621161882,6.157868195
260.9923183,0.378654591,5.16568123
216.3092478,0.322422018,4.133305603
345.2113093,0.476510439,9.904162924
423.1236605,0.568993139,19.80312733
185.7677432,0.310122439,2.31975391
299.2463596,0.415645008,8.864401983
166.920754,0.236784274,6.565758402
431.7393948,0.587280222,13.73125169
458.9184777,0.618866466,17.85896718
271.6633982,0.379998748,7.930108193
430.0849595,0.578338307,19.82438025
393.403661,0.530081071,18.38667502
441.7966294,0.613816567,8.822608057
457.2067498,0.769620436,2.251760643
229.5632121,0.309358527,18.30208654
497.3713349,0.670845807,17.74427838
461.6535845,0.65684077,6.334889871
434.2631254,0.672850159,3.236347827
481.5006186,0.656003472,13.17901621
275.9696524,0.429701016,3.151219611
347.5600241,0.477453893,10.89449852
205.0837815,0.28017241,12.32432838
309.5039594,0.463178985,4.016577113
559.5793152,0.757954763,15.47903848
434.8903326,0.675512123,3.192441712
173.8352474,0.24153923,8.811206652
217.4397429,0.292343209,19.95563157
300.2287697,0.405003487,17.65351895
543.4495572,0.739654504,13.52778031
571.6770353,0.773609649,15.9321333
530.3680754,0.731036839,10.18124913
245.4889473,0.346685459,6.944207595
91.67829011,0.124610223,14.01995703
136.3458681,0.183671531,18.54623212
